  8481880  72714621 426153544 total
    21984    188485   1045926 base_dades/etext96/lwmen12.txt
    16990    189693   1043424 base_dades/etext03/8clln10.txt
    16778    192730   1042852 base_dades/etext97/dtroy10.txt
    12789     14405   1037461 base_dades/etext94/ee710.txt
    22378    177720   1035435 base_dades/etext01/ironm11.txt
    18240    171818   1034079 base_dades/etext03/tfdbt10.txt
    21216    186461   1032291 base_dades/etext98/grexp10a.txt
    10266     11737   1031081 base_dades/etext96/onepi10.txt
    16465    164637   1021079 base_dades/etext01/8swan11.txt
    17694    161059   1013488 base_dades/etext04/8lssm10u.txt
    21267    174955   1004770 base_dades/etext99/resur10.txt
    18265    175597    993034 base_dades/etext02/51001108.txt
    17647    178494    988447 base_dades/etext05/wlwrk10.txt
    17812    176882    982053 base_dades/etext02/11001108.txt
    16484    169275    977857 base_dades/etext02/g1001108.txt
    17592    171228    967355 base_dades/etext02/f1001108.txt
    16608    157832    963354 base_dades/etext98/otoos11.txt
    16764    172836    958288 base_dades/etext02/71001108.txt
    18107    155317    947109 base_dades/etext95/pprty10.txt
    15824    169513    943755 base_dades/etext00/2yb4m10.txt
    20779    157737    938509 base_dades/etext00/cstwy11.txt
    16472    165034    937122 base_dades/etext97/dnhst10.txt
    17284    173238    924210 base_dades/etext98/1mart10.txt
    20255    158823    923333 base_dades/etext96/olivr10.txt
    21457    157767    915369 base_dades/etext95/scarr10.txt
    15885    164886    911629 base_dades/etext02/91001108.txt
    14895    163087    910524 base_dades/etext01/1hofh10.txt
    16266    164185    906086 base_dades/etext00/wflsh10.txt
    15047    150449    902466 base_dades/etext04/8tjna10.txt
    21180    153595    893547 base_dades/etext97/0ddcc10.txt
    16553    146193    891321 base_dades/etext00/hphnc10.txt
    15962    160266    888548 base_dades/etext02/31001108.txt
    15632    155752    886051 base_dades/etext04/cs10w10.txt
    16573    144029    885471 base_dades/etext96/pmisr10.txt
    13496    141989    883785 base_dades/etext05/8hist10.txt
    18191    150870    881479 base_dades/etext97/mohic10.txt
    16295    156784    879638 base_dades/etext02/81001108.txt
    14253    142340    879618 base_dades/etext00/hcath10.txt
    16872    150656    876179 base_dades/etext05/8purg10.txt
    15320    156866    873868 base_dades/etext02/21001108.txt
    14957    144063    868147 base_dades/etext03/8ataw11.txt
    20917    150283    868039 base_dades/etext94/tess10.txt
    16667    162362    865179 base_dades/etext95/dracu12.txt
    13569    141089    864515 base_dades/etext96/1jcfs10.txt
    20511    147165    861320 base_dades/etext04/iliad10b.txt
    24811    140061    857425 base_dades/etext04/kalec10.txt
    12843    143222    853606 base_dades/etext04/8ushx10.txt
    13968    148942    849134 base_dades/etext01/2hofh10.txt
    15396    149018    840247 base_dades/etext02/c1001108.txt
    14692    150946    839350 base_dades/etext94/jungl10.txt
    14297    149236    837851 base_dades/etext01/3lotj10.txt
    17960    146025    830791 base_dades/etext94/jude11.txt
    14550    137239    830519 base_dades/etext04/cnstr10.txt
    16695    146597    824469 base_dades/etext02/h8ahc10.txt
    19173    143477    817688 base_dades/etext94/nativ10.txt
    14567    142193    814821 base_dades/etext02/fevch10.txt
    14359    132845    806995 base_dades/etext03/fkchp10.txt
    15223    134353    804010 base_dades/etext05/8csus10.txt
    15038    133230    801986 base_dades/etext99/uspis10.txt
    16108    133828    797110 base_dades/etext05/8ntle10.txt
    15232    140052    792778 base_dades/etext04/8jrc710.txt
    12928    129944    790356 base_dades/etext04/8wsh110.txt
    13869    140449    787800 base_dades/etext02/e1001108.txt
    16364    137667    787603 base_dades/etext94/2city12.txt
    12719    137465    787427 base_dades/etext01/zambs10.txt
    11597    141266    784464 base_dades/etext03/thdcm10.txt
    13550    129971    776007 base_dades/etext04/inagu10.txt
    17266    120421    773962 base_dades/etext04/handi10.txt
    13224    138106    764234 base_dades/etext02/61001108.txt
    13790    135489    755561 base_dades/etext02/41001108.txt
    27428    133669    752668 base_dades/etext04/fb10w11.txt
    13529    139951    730866 base_dades/etext95/mollf10.txt
    13088    129247    722428 base_dades/etext98/1lotj10.txt
    14572    123827    716223 base_dades/etext98/pandp12.txt
    15090    120650    710400 base_dades/etext01/5linc11.txt
    17097    126197    707291 base_dades/etext94/repub13.txt
    16793    130730    706636 base_dades/etext96/njals10.txt
    13182    131754    706419 base_dades/etext99/dyssy10.txt
    12403    123374    704077 base_dades/etext01/4lotj10.txt
    15055    120355    698606 base_dades/etext94/sense11.txt
    13295    112699    695803 base_dades/etext04/mrclt10.txt
    20370    116778    684987 base_dades/etext97/0ddcl10.txt
    15204    117060    682068 base_dades/etext94/mayrc10.txt
    14705    117554    678382 base_dades/etext00/mbova10.txt
    12340    121585    677563 base_dades/etext02/b1001108.txt
    13180    119022    675254 base_dades/etext96/wuthr10.txt
